,batch_size,image_size,kernel_size,in_channels,out_channels,stride,padding,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,region,cloud_provider,cloud_region,cpu_count,gpu_count,longitude,latitude,ram_total_size,rep_no,macs,forward_passes
778,225,155,9,88,474,3,0,47.00650763511658,0.0015393565690614,0.032747703959415335,75.32050348164326,29.461,288.75,0.000989790975721,0.0003863353248682,0.003738015124864,0.0051141414254533,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,1825499147850.0,1.0
779,146,198,9,85,211,5,0,30.63529086112976,0.0010046917357889667,0.0327952253675768,74.7832167019347,29.971333333333334,288.75,0.00021671307512956665,8.431157078007778e-05,0.0008115907868577223,0.0011126154327674,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,306315887504.0,3.0
780,129,176,10,34,51,2,3,35.470371882120766,0.001159815801812,0.032698156844609395,75.27328610725611,29.195999999999998,288.75,0.00014823478436550667,5.793222758101333e-05,0.0005644747168322266,0.0007706417287787667,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,169357729851.0,5.0
781,36,93,11,249,341,4,1,30.8420467376709,0.0010085599619080665,0.0327008145476256,75.5414979953962,29.237,288.75,9.237854858531429e-05,3.603379568702857e-05,0.00035025873399442383,0.0004786710782667762,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,179019925920.0,7.0
782,168,164,1,142,163,4,2,30.278626521428425,0.0011101478804599668,0.03668238176496953,74.9118014131134,29.72066666666667,288.75,1.046587520066317e-05,4.07222942069867e-06,4.633161342046231e-05,6.0869718041825796e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,6907668768.0,60.666666666666664
783,49,209,9,306,316,5,1,37.000505447387695,0.0012141258133666333,0.03281379053065513,76.69600492436486,29.423666666666666,288.75,0.00039349240595105,0.00015160321186006667,0.00147172467017335,0.00201682028798455,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,645171007348.0,2.0
784,116,130,7,476,477,2,3,124.56567899386089,0.004082274842588267,0.03277206262902307,75.53739524224572,29.683333333333334,288.75,0.0026242440497638666,0.0010265635673298,0.009911567275226067,0.013562374892319833,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,5452864852500.0,1.0
785,4,174,4,442,243,3,1,30.374437014261883,0.0009968521739783334,0.03281880068131016,76.11172250073999,29.545333333333332,288.75,1.7004145538001754e-05,6.611723700066666e-06,6.353679503700702e-05,8.715266427507808e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,23127351984.0,38.0
786,133,170,6,221,214,3,1,40.34378981590271,0.0013239843331934,0.0328176388215421,76.19878404133867,29.69066666666667,288.75,0.0004261976243374167,0.00016647162036055,0.0016066402788791165,0.00219930952357715,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,710216612224.0,2.0
787,146,35,3,47,204,3,1,30.07607078552246,0.0012313122672181001,0.040934644429101906,73.87637710329494,29.498000000000005,288.75,1.7392339156555378e-06,6.596159417790584e-07,8.529235771735222e-06,1.0928085629169993e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,1818491904.0,374.0
788,69,68,6,454,32,1,0,32.41608134905497,0.0010594518624388333,0.032682908232509834,75.24506231569694,29.745333333333335,288.75,7.526909975226297e-05,2.9324062161559258e-05,0.00028649279690450366,0.000391085958818337,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,143240257440.0,9.0
789,50,49,2,384,399,2,3,30.54470721880595,0.0009992162611965,0.032713239574440896,76.51750791416003,29.412666666666667,288.75,1.4660072344630304e-05,5.6370570940090906e-06,5.5149583125278793e-05,7.544671256392046e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,22353436350.0,44.0
790,16,95,7,3,88,5,3,30.033645629882812,0.000983300323435,0.03273995925129836,75.18109975365533,28.991666666666664,288.75,4.8921079689180106e-08,1.8962761992437487e-08,1.8715741553574035e-07,2.55041257217371e-07,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,75226624.0,12809.666666666666
791,227,121,6,457,416,1,0,478.6764397621155,0.015669442370658034,0.032735051954987236,75.02450451716244,29.862333333333336,288.75,0.010015892598355766,0.0039458937650418665,0.038096161711878206,0.052057948075275896,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,20906448549376.0,1.0
792,21,131,4,403,266,3,3,30.886067708333332,0.0010132595771872,0.032806319872380967,76.53424762506695,29.776666666666667,288.75,5.049189188920513e-05,1.965548837905641e-05,0.00018879961109059232,0.0002589469913588564,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,72948830850.0,13.0
793,26,30,2,470,14,1,3,30.080152988433838,0.0013469653773588667,0.04477920616171103,76.0093639416229,29.501333333333335,288.75,1.7330830471008331e-06,6.718320056476824e-07,9.799564532173538e-06,1.2204479584922328e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,838737900.0,366.6666666666667
794,49,61,4,90,249,1,3,30.772488514582317,0.0010065261156197668,0.03270865396510467,75.47082421163272,29.951666666666668,288.75,3.795552508116863e-05,1.489248232727255e-05,0.00014385437985358433,0.00019670238726202745,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,72014401536.0,17.0
795,14,183,7,220,386,2,0,34.21230626106262,0.0011203272034700999,0.03274641598470406,75.41812295111524,29.790000000000003,288.75,0.00023879488325795556,9.447471369023333e-05,0.0009074028321438221,0.0012406724290920555,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,461481610604.0,3.0
796,97,177,9,370,165,5,1,37.55158098538717,0.0012331208543499665,0.03283804076317556,76.57030360764705,29.846333333333334,288.75,0.00039856890853078334,0.00015502422373083334,0.0014947803799476667,0.002048373512209317,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,587615172375.0,2.0
797,128,36,1,82,180,5,1,30.039498885472614,0.0009865451255973,0.0328415973650461,76.1281891239186,29.637,288.75,1.555011521424869e-07,6.006917726457541e-08,5.87171957476846e-07,8.027422868839245e-07,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,122388480.0,4083.0
798,173,94,9,418,402,2,0,105.67488805452983,0.0034654469154672333,0.032793476923601066,74.96605539022833,30.005333333333336,288.75,0.002227481951058133,0.0008772433575682,0.0084083873673445,0.011513112675970966,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,4353947567886.0,1.0
799,69,128,10,440,501,3,0,58.456660191218056,0.0019216224695376334,0.032872594686373366,76.32750505706635,30.260666666666665,288.75,0.0012388917042606667,0.0004893779335063334,0.0046558581680059,0.0063841278057729664,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,2433712910400.0,1.0
800,228,8,1,164,435,5,3,30.04331437746684,0.0011095761764128667,0.0369305933226551,76.53967926899288,30.15433333333333,288.75,1.719781056502479e-07,6.748473071673342e-08,7.499999923023366e-07,9.894628286693448e-07,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,147282300.0,3724.6666666666665
801,214,186,1,26,380,5,1,30.33681583404541,0.0009928391737906333,0.03272720401004907,74.75556015284212,29.867,288.75,1.1804032449046914e-05,4.649416901641358e-06,4.4629310203308647e-05,6.108275955399877e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,3170504160.0,54.0
802,67,144,2,383,134,3,3,30.368858496348064,0.0009981586147025333,0.032867854999882935,75.72924612714452,29.79733333333333,288.75,2.705800580919306e-05,1.0495734905243057e-05,0.00010061882499743056,0.00013817256571187501,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,34408185000.0,24.0
803,243,160,3,135,191,3,0,32.9761909643809,0.0010821575367054668,0.03281655150567473,76.37682578860522,29.69066666666667,288.75,0.00013971274645528,5.4506731501360003e-05,0.00052482207467158,0.0007190415526282333,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,158534926272.0,5.0
804,130,200,6,13,238,2,1,33.24643794695536,0.0010904244018804332,0.032798226025905465,76.16391030875432,29.904333333333337,288.75,8.808846332950416e-05,3.424861297573334e-05,0.00033049697763182505,0.00045283405393707507,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,142220938860.0,8.0
805,244,159,11,124,262,5,3,49.12608687082926,0.0016146983790396334,0.0328685115999638,76.60024863470957,30.191000000000003,288.75,0.0005233432261279166,0.00020569591975271666,0.0019531840751154336,0.0026822232209961334,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,921829294040.0,2.0
806,46,217,7,210,215,5,0,33.988826274871826,0.0011167732024913,0.03285706260113724,76.82383950287857,30.073333333333334,288.75,0.00014465591628018667,5.6628709315019996e-05,0.00054075736941562,0.0007420419950108468,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,188187503510.0,5.0
807,121,74,4,315,411,5,3,30.62135076522827,0.0010065960756598,0.03287237730824463,76.78511367535873,30.058999999999997,288.75,4.371275416153111e-05,1.7040899062604444e-05,0.00016219121403164,0.00022294486725578,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,64177656576.0,15.0
808,190,69,4,272,269,5,3,30.33208680152893,0.0009953916000835334,0.0328165301430495,75.14216094213471,30.070000000000004,288.75,3.791391584853529e-05,1.4824876552858822e-05,0.00014178760980371175,0.0001945264022051118,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,50058411750.0,17.0
809,41,17,3,330,462,1,2,30.20002547899882,0.0011099417837429333,0.03676034413541617,75.20920833366749,30.131333333333334,288.75,7.95376223754971e-06,3.156565140890053e-06,3.5220040425122876e-05,4.6330367803563897e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,20315882202.0,79.66666666666667
810,255,4,2,72,389,4,3,30.05210502942403,0.0011059021732144332,0.03679760465695253,75.78836697831451,29.804333333333336,288.75,2.770255147005662e-07,1.084526110888249e-07,1.2344024894623828e-06,1.6198806152518176e-06,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,258006195.0,2279.3333333333335
811,204,171,3,99,457,3,1,39.37196977933248,0.0012925632647072,0.032829259053121264,76.64513590443312,29.766333333333336,288.75,0.0002783078944671111,0.00010817502723653334,0.0010449271167317887,0.0014314100384354668,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,270184812624.0,3.0
812,177,118,5,433,228,3,3,43.115748246510826,0.0014167443490132002,0.03285998626506414,76.46620211367754,30.18733333333334,288.75,0.00045601415550546666,0.0001792708184505667,0.0017181109546373166,0.0023533959285933666,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,699030489600.0,2.0
813,168,212,6,441,249,3,3,93.22978162765503,0.0030602966938065336,0.03282538329539733,75.39526822218015,29.939000000000004,288.75,0.0019811787585528,0.0007689103974308667,0.007417009494536432,0.010167098650520167,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,3348064153224.0,1.0
814,252,72,2,194,331,4,3,30.321260770161945,0.0009939129433448332,0.032779409932177005,76.13741514682272,29.272000000000002,288.75,1.8412586402013335e-05,7.074497746392381e-06,6.885681175523237e-05,9.434389590364e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,25924449600.0,35.0
815,235,104,1,392,279,4,1,30.5525066057841,0.0011215724096623999,0.03677047211779907,75.05766419531527,29.523333333333337,288.75,1.762170130476499e-05,6.847918023318218e-06,7.735765919861113e-05,0.00010182727852669524,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,18784175805.0,36.666666666666664
816,193,217,8,401,83,5,2,32.08951417605082,0.0010537692245258,0.03283951049078023,74.70590994884547,30.102999999999998,288.75,0.0006797419812930666,0.0002676215458756,0.002553530906471867,0.0035008944336406664,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,760174997115.0,1.0
817,28,45,5,83,242,2,1,30.165741364161175,0.001107999495248,0.03673787388714034,75.32372661888246,30.042,288.75,3.958774437768511e-06,1.5588636787357076e-06,1.7558956493178813e-05,2.3076594609684075e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,6808416384.0,160.0
818,212,93,2,26,439,1,2,32.75389703114828,0.0011497914695363667,0.034890198229491264,60.01379368646079,30.417,288.75,0.00011168612285190556,4.550790232478889e-05,0.00047945684389107216,0.0006366508690677722,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,90060042240.0,6.0
819,214,190,7,412,323,4,2,88.13832187652588,0.0028952771685576664,0.0328493593886541,76.54236773576487,29.81833333333334,288.75,0.0018747074164313666,0.0007297964350689001,0.007014357173608334,0.0096188610251087,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,3082668464122.0,1.0
820,192,57,10,324,105,2,1,31.39043052991231,0.0010277867256151,0.0327421066771271,75.40635044686114,30.038333333333338,288.75,0.00021944596459982221,8.677047545602222e-05,0.0008319748396950556,0.0011381912797509444,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,408252600000.0,3.0
821,176,75,11,154,226,2,3,45.76413997014364,0.0014999283206327668,0.03277519196465197,75.41368024520317,30.25666666666667,288.75,0.00048111580836453336,0.00019118759431785,0.0018192718807607665,0.0024915752834432,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,960628584960.0,2.0
822,114,197,4,248,255,1,1,109.69211141268413,0.0035960430644881003,0.03278307970551673,74.77826405917985,30.110333333333333,288.75,0.0023025051310766667,0.0009182088133470667,0.008726272980786,0.011946986925209768,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,4432393133280.0,1.0
823,204,166,1,223,18,1,0,33.550830602645874,0.0010974185758484667,0.032709169480191064,75.65748593700992,29.522333333333336,288.75,0.00010050604273280477,3.926905071463334e-05,0.00038106903367571905,0.0005208441271231667,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,22665581568.0,7.0
824,72,69,1,206,501,2,3,30.412559191385906,0.0009967071831109666,0.032772892671038036,75.86676507249304,29.508333333333336,288.75,9.488718621741665e-06,3.664287466853922e-06,3.5542869576392155e-05,4.8695875664989704e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,10782209376.0,68.0
825,171,128,4,444,327,5,2,35.40885782241821,0.0011640136822809665,0.03287334400892477,77.05527697452244,30.079333333333334,288.75,0.0002512125675748111,9.856112023858888e-05,0.0009392780090647556,0.0012890516968781889,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,268568232660.0,3.0
826,16,145,5,49,87,4,0,30.108546415964764,0.0012295759979126335,0.04082921602176437,75.16187241410917,30.042333333333335,288.75,2.8109863326877105e-06,1.110557543292301e-06,1.4167580413580047e-05,1.80891242895605e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,2211743232.0,225.66666666666666
