batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes
292,4960735,30.4520480632782,0.0012363736931462,0.0406451346771975,48.7162945514068,29.900333333333332,288.75,7.367255703984583e-05,3.65983148382625e-05,0.0004031733528503875,0.0005134442247285042,2.0,1.0,770.0,2.0,0.0,8.0
175,555345,30.094314734141033,0.0013568513709120331,0.045086663241982405,77.51193881304054,29.72233333333334,288.75,1.927181577201565e-06,7.207963877898412e-07,1.0419464509237467e-05,1.3067442474229066e-05,2.0,1.0,770.0,2.0,0.0,345.0
209,4260263,30.538684527079266,0.0009994603205542999,0.03272764942770593,73.87808842204016,29.983666666666668,288.75,4.930662514326923e-05,1.949084970961282e-05,0.00018662300062739486,0.00025542047548028716,2.0,1.0,770.0,2.0,0.0,13.0
288,1829246,30.561272382736206,0.0010029665224476,0.0328182730932049,75.89016881077991,29.50566666666667,288.75,2.3057213167708562e-05,8.93596555198112e-06,8.642549538225929e-05,0.00011841867410195305,2.0,1.0,770.0,2.0,0.0,35.666666666666664
274,1166086,30.236201524734497,0.0011161429452286335,0.03691234084802834,75.66185555502757,29.939000000000004,288.75,1.0226203090412067e-05,3.921149718540096e-06,4.878653273843908e-05,6.293388554739189e-05,2.0,1.0,770.0,2.0,0.0,81.0
238,2101906,30.221258401870728,0.0012375444789446332,0.04097128048729733,78.18582924880658,29.886333333333337,288.75,1.5874630317049146e-05,6.142027863051654e-06,8.227231761118502e-05,0.0001042889757912873,2.0,1.0,770.0,2.0,0.0,52.0
43,4324070,30.076906442642212,0.0013549703261882668,0.045050208572360834,78.10576437678732,29.382,288.75,3.7401824085390318e-06,1.3846495277048085e-06,2.0212489426615926e-05,2.5337321362859956e-05,2.0,1.0,770.0,2.0,0.0,177.66666666666666
222,92836,30.053139130274456,0.0011155975633186002,0.03711765436584424,79.07123663415224,29.462666666666667,288.75,4.0553776726166554e-07,1.507381610984785e-07,1.7053421895997055e-06,2.261618117959931e-06,2.0,1.0,770.0,2.0,0.0,1639.0
416,1273733,30.623523235321045,0.0011249312937274332,0.0367990144927104,74.58031538777121,29.755666666666666,288.75,2.3192654645912363e-05,9.022938862309163e-06,9.319997773402009e-05,0.00012541557124224419,2.0,1.0,770.0,2.0,0.0,35.666666666666664
48,921725,30.07513666152954,0.0013568727979404998,0.04511610249840777,75.24220121441954,29.822999999999997,288.75,8.69542349486582e-07,3.2666808851109105e-07,4.699266230157809e-06,5.895476668155569e-06,2.0,1.0,770.0,2.0,0.0,764.6666666666666
128,4129063,30.615949948628742,0.0010057055486702665,0.032849616495015034,76.34678019005196,29.96366666666667,288.75,2.3114301613451685e-05,9.046958093737086e-06,8.671822151008037e-05,0.00011887948121727474,2.0,1.0,770.0,2.0,0.0,35.666666666666664
160,3751231,30.82358940442403,0.0010144038581506667,0.0329123459188803,78.28451527573183,29.52666666666667,288.75,1.9070586374841547e-05,7.232323756166904e-06,7.04501655242499e-05,9.67530756552601e-05,2.0,1.0,770.0,2.0,0.0,44.0
315,1773714,30.918126106262207,0.001014760360637,0.03282254365132067,76.55489884335961,29.770666666666667,288.75,2.466480435598199e-05,9.564706228610372e-06,9.254468353334291e-05,0.00012677419411793743,2.0,1.0,770.0,2.0,0.0,33.333333333333336
453,502850,30.167496124903362,0.0011174270394117335,0.03705419907274113,76.30524911729574,29.304666666666673,288.75,4.633564378340064e-06,1.7168716866745385e-06,1.9430679770355052e-05,2.578111583537058e-05,2.0,1.0,770.0,2.0,0.0,144.0
102,335011,30.058311700820923,0.0012357991038851335,0.04111114204831443,77.9115531311362,29.865,288.75,6.829781779492495e-07,2.558419690393792e-07,3.294298554034992e-06,4.233118701023724e-06,2.0,1.0,770.0,2.0,0.0,970.0
419,3760243,31.885426203409832,0.0010436740691739334,0.032732088693690965,75.17818427764786,29.762,288.75,8.372861184393749e-05,3.292338398155417e-05,0.00031676746811716664,0.0004334194639426833,2.0,1.0,770.0,2.0,0.0,8.0
47,4000037,30.17239809036255,0.0012380850699718,0.04103638192512204,74.59849692111933,30.070666666666668,288.75,3.8044888098857764e-06,1.432765557630436e-06,1.8291131366358697e-05,2.3528385733875484e-05,2.0,1.0,770.0,2.0,0.0,174.66666666666666
441,1673359,30.7038098971049,0.0011313508487516,0.03691736134117297,76.60342145523953,29.476666666666663,288.75,2.3844896267927185e-05,9.123781172644993e-06,9.776545133484699e-05,0.00013073412877542202,2.0,1.0,770.0,2.0,0.0,34.666666666666664
200,3080726,30.54926363627116,0.0010023670591044666,0.032812212911857166,75.95245621604481,29.757666666666665,288.75,2.6663175426436194e-05,1.0380999440778556e-05,0.00010029749447971392,0.00013734166934693045,2.0,1.0,770.0,2.0,0.0,30.666666666666668
165,490354,30.090388536453247,0.0013562914773953333,0.045073922168464266,74.71539859843743,29.93466666666667,288.75,1.601615935879463e-06,5.957063040038444e-07,8.651689081550515e-06,1.0849011321434064e-05,2.0,1.0,770.0,2.0,0.0,415.3333333333333
349,4412674,31.388561964035034,0.0011490006982500668,0.0367078303306334,50.06356643794363,29.981666666666666,288.75,7.626148223598333e-05,3.8142225309075e-05,0.0003627560508644334,0.0004771597584095042,2.0,1.0,770.0,2.0,0.0,8.0
151,2548030,30.245758374532063,0.0011164456409549332,0.036936715538635596,75.75937751462824,29.69,288.75,1.2324632028231056e-05,4.790041433078184e-06,5.0427302485310634e-05,6.754197594662216e-05,2.0,1.0,770.0,2.0,0.0,66.33333333333333
118,1243337,30.079097668329876,0.0013554676510755,0.0450634491979239,75.53544525978612,29.785666666666668,288.75,2.938869346526795e-06,1.1036920076517883e-06,1.59139880181542e-05,1.995654937233323e-05,2.0,1.0,770.0,2.0,0.0,225.66666666666666
