,batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,region,cloud_provider,cloud_region,cpu_count,gpu_count,longitude,latitude,ram_total_size,rep_no,macs,forward_passes
335,176,3544486,31.143250942230225,0.0010262990070144667,0.03295499949104347,77.84722279662158,30.331999999999997,288.75,3.1578888282979014e-05,1.2310530037878025e-05,0.00011639203328041258,0.00016028145160127308,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,23.0
336,406,3973949,32.30808353424072,0.0010604676000338668,0.03282355929496857,75.91319728684823,30.145333333333337,288.75,0.00011409214238474445,4.529742011027778e-05,0.00042780179964998886,0.0005871913621450222,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,6.0
337,294,2430190,31.185504913330078,0.0010254944139301333,0.03288552364038593,77.10764804651033,30.04166666666667,288.75,4.3905419572774806e-05,1.726569622870691e-05,0.00016376483934196946,0.0002249359551434603,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,16.333333333333332
338,102,260857,30.051225900650024,0.0011166169170560333,0.03715482971558473,79.49902984416565,30.118,288.75,9.57297656126917e-07,3.62147041989244e-07,4.035985179141908e-06,5.355429877258262e-06,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,692.6666666666666
339,233,4661668,32.49969696998596,0.0010663381968589,0.03281065206437677,76.1915669851495,29.721333333333334,288.75,7.663540070127037e-05,3.0088926680314814e-05,0.00028690365226364075,0.000393627979645237,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,9.0
340,113,2964248,30.273807366689045,0.0011189387792871,0.03698101515313667,75.96545125689492,30.14166666666667,288.75,1.6904126334589545e-05,6.5613413383885e-06,7.035232190462628e-05,9.381778957760757e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,42.0
341,484,839419,30.749841690063477,0.0010131698587001,0.0329505766151675,77.86264789695639,30.13466666666667,288.75,1.9998490458951668e-05,7.762338395505562e-06,7.347307236246111e-05,0.00010123390121692133,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,36.333333333333336
342,341,2993860,31.40880759557088,0.0011515033252033333,0.03679964626036483,50.78575613956456,30.139666666666667,288.75,6.611146206710186e-05,3.284966672595704e-05,0.0003127699664161452,0.0004117310952092256,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,9.333333333333334
343,170,2505644,30.49870204925537,0.0011263089826637667,0.0369904913187774,78.1344320037115,29.921000000000003,288.75,2.137117497841123e-05,8.202556402049689e-06,8.896847057376282e-05,0.00011854220195422781,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,33.333333333333336
344,475,932969,31.173744757970173,0.0010244606840063666,0.0328643784946182,77.2852372862783,29.840000000000003,288.75,2.6900117115991577e-05,1.0370501079116605e-05,0.00010005968331738645,0.00013733030151249622,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,27.0
345,368,3686465,31.400877952575684,0.0010299934907358668,0.03280148513298473,75.11177226719416,29.758,288.75,9.503641831742856e-05,3.733487534819524e-05,0.0003564723184539143,0.0004888436121195476,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,7.0
346,330,4777893,31.686462958653767,0.0010369621040361334,0.03272415078446077,75.31994042698658,30.143666666666665,288.75,0.00011188369839576667,4.401457910471667e-05,0.00041827785983957226,0.0005741761373400668,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,6.0
347,385,3545376,32.00598827997843,0.0010506820353523,0.03282758083265497,76.01951702848372,30.262,288.75,9.70581518395762e-05,3.826220139034762e-05,0.0003633422169420381,0.0004986625701719714,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,7.0
348,447,3395910,32.11368107795715,0.0011763045188197335,0.0368440156748901,74.81006433120224,30.201000000000004,288.75,0.0001080838719498238,4.255320782496825e-05,0.00047040618521470716,0.0006210432649895151,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,6.333333333333333
349,287,1255661,30.32709248860677,0.0012407027157202999,0.0409605718954685,76.56236949030693,30.141000000000002,288.75,1.8228217066302076e-05,7.005540642575541e-06,8.403783732912717e-05,0.00010927159503800756,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,39.333333333333336
350,492,1356170,31.415329297383625,0.0010349798876221,0.0329456948341612,77.57950697790504,30.46166666666667,288.75,4.088066276860238e-05,1.60369484098663e-05,0.00015106884281859248,0.00020798645399706592,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,18.0
351,195,2579095,30.559377431869507,0.0010083003899231666,0.03299522803214793,77.47295892335019,30.148000000000007,288.75,2.5673754485860608e-05,9.954970901296465e-06,9.41493883039096e-05,0.00012977811369107139,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,28.0
352,36,3645409,30.13962205251058,0.0011163094540808333,0.03703640641524273,77.45539313317774,29.962333333333333,288.75,5.234432838365123e-06,1.97260690022733e-06,2.215785942620411e-05,2.936489916479683e-05,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,126.33333333333333
353,227,4167961,31.628989934921265,0.0010390134398056332,0.03285015983161727,76.37038805063452,30.05366666666667,288.75,6.729246488948e-05,2.6520223764223334e-05,0.0002513745006504933,0.0003451871893042067,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,10.0
354,133,241510,30.07825541496277,0.001236986288348,0.0411214528144739,79.44777178932237,29.90166666666667,288.75,1.1486472139014027e-06,4.3230145225070296e-07,5.516800035685252e-06,7.097748701837472e-06,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,579.0
355,431,1343684,30.95857810974121,0.0010182003440324667,0.0328906231479133,77.05838002449768,30.000666666666664,288.75,3.531158218602062e-05,1.380170410156408e-05,0.00013126171320458952,0.0001803749994921807,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,20.333333333333332
356,484,2931338,32.99030860265096,0.0010830044373978667,0.03282830272505257,76.26779343599698,30.18133333333333,288.75,0.00010002352833885716,3.9297395412142855e-05,0.0003746821314924238,0.0005140030552434333,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,7.0
357,3,1356323,30.04106084505717,0.0009926219663514667,0.0330421748301254,77.90980533277981,29.884,288.75,1.6352103103982133e-07,6.298182830812296e-08,6.036804738405963e-07,8.301833331885574e-07,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,3972.3333333333335
358,429,2534138,32.66977826754252,0.0010717938123902,0.03280684023773467,76.35971110540552,30.185666666666666,288.75,7.688647956468519e-05,3.0296007030048143e-05,0.00028845937844411483,0.00039564186503885187,,,,2.0,1.0,9.491,51.299299999999995,770.0,2.0,0.0,9.0
