batch_size,input_size,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,cpu_count,gpu_count,ram_total_size,rep_no,macs,forward_passes,test
123,3313180,30.468485593795776,0.0010179455766249998,0.03341192398893223,73.90853131980231,30.598,288.75,1.7184074025025225e-05,6.998594520897298e-06,6.721946637596397e-05,9.14021349218883e-05,2.0,1.0,770.0,2.0,407521140.0,37.0,1.0
232,2711038,30.246486107508343,0.0010168199537016,0.033616664693966965,202.1043421963336,30.461,288.75,2.635731897163889e-05,1.1395938168226389e-05,0.00010300255040465556,0.00014075580754452363,2.0,1.0,770.0,2.0,628960816.0,24.0,1.0
156,3678944,30.405196110407513,0.0009712748945454666,0.03194549972631447,74.92000655850607,30.505,288.75,2.4128719737168092e-05,9.809385940939411e-06,8.860576376743287e-05,0.00012254386944554415,2.0,1.0,770.0,2.0,573915264.0,26.333333333333332,1.0
365,1465097,30.22626566886902,0.0009874112696049333,0.032667218647253866,72.91313534985335,30.465999999999998,288.75,2.2551214704315475e-05,9.110070885375e-06,8.54971469690381e-05,0.00011715843255873095,2.0,1.0,770.0,2.0,534760405.0,28.0,1.0
159,2506924,30.598744074503582,0.0009994845116227,0.03266447773342166,74.9563061647104,30.377666666666666,288.75,1.68229081781e-05,6.800350517014912e-06,6.375954525861053e-05,8.73828039537272e-05,2.0,1.0,770.0,2.0,398600916.0,38.0,1.0
466,2954623,31.743501504262287,0.0010148637674201333,0.0319704643002646,74.99902508036591,30.352333333333334,288.75,5.540121288574444e-05,2.2357926082372222e-05,0.0002032108963087722,0.00028097003527689725,2.0,1.0,770.0,2.0,1376854318.0,12.0,1.0
278,102775,30.064262628555298,0.0009643438681346,0.032076079352938866,75.23136018591936,30.676333333333332,288.75,1.1669527967035266e-06,4.733234352483144e-07,4.311055452160773e-06,5.9513316841128615e-06,2.0,1.0,770.0,2.0,28571450.0,538.3333333333334,1.0
267,4889675,30.877508560816448,0.0010139842247381334,0.03284527808865553,50.08591346355927,30.667666666666666,288.75,5.157254470766667e-05,2.1954052968634402e-05,0.00019993173970530233,0.0002734583373816088,2.0,1.0,770.0,2.0,1305543225.0,12.333333333333334,1.0
350,1146096,30.73726709683736,0.0009760424189866667,0.031754460471045666,74.4295674253069,30.236333333333334,288.75,1.6894601454264913e-05,6.789325478857894e-06,6.164938474607545e-05,8.533331167920175e-05,2.0,1.0,770.0,2.0,401133600.0,38.0,1.0
379,2173086,30.81275471051534,0.0009818701307228667,0.03186664749225163,74.6875650708001,30.23266666666667,288.75,3.390741340758246e-05,1.3637295025294735e-05,0.00012414092379703685,0.0001716856322299193,2.0,1.0,770.0,2.0,823599594.0,19.0,1.0
